,ward,beds,baths,DEN,size,parking,exposure,D_mkt,building_age,maint,price,lt,lg
0,13,3.0,3,0,3.0,0,1,16.0,9,1087.0,1821000.0,43.61799707222609,-79.3923829334807
1,13,1.0,1,1,1.0,1,2,23.0,3,469.0,613000.0,43.64896846286158,-79.39003091322324
2,13,2.0,2,1,1.0,1,2,12.0,1,767.0,838000.0,43.64104466596335,-79.37543575581886
3,13,2.0,2,0,1.0,1,0,10.0,25,827.0,935000.0,43.64212244209752,-79.37025008660014
4,10,2.0,1,0,1.0,0,0,5.0,1,753.3900618891613,1328000.0,43.69220992312529,-79.36501549460442
5,10,0.0,1,0,1.0,1,0,1.0,12,526.0,645000.0,43.65331584352952,-79.40030920867638
6,11,1.0,1,1,1.0,0,0,4.0,8,610.0,777000.0,43.6657317590458,-79.3714678361946
7,13,1.0,2,1,1.0,0,2,5.0,4,639.0,778000.0,43.638118467185606,-79.38774078020593
8,13,2.0,1,1,1.0,1,1,40.0,7,705.0,776000.0,43.63350585598979,-79.40431535240974
9,10,2.0,2,0,4.0,1,1,13.0,11,1353.0,2424000.0,43.68364286985454,-79.38649555422168
10,13,1.0,1,1,1.0,1,3,19.0,0,588.0,664000.0,43.63487471403577,-79.42528949417603
11,11,3.0,2,0,1.0,1,2,37.0,19,492.0,664000.0,43.6596235910671,-79.35674827280816
12,10,1.0,1,0,1.0,1,3,13.0,25,776.0,572000.0,43.66182773280277,-79.41677924456589
13,10,1.0,1,1,1.0,0,1,3.0,1,752.0,806000.0,43.687783539149635,-79.37737267875926
14,10,2.0,1,1,1.0,0,3,1.0,7,866.0,909000.0,43.65605319841197,-79.41349201727549
15,10,2.0,1,0,2.0,1,0,54.0,1,702.0,954000.0,43.67832512203595,-79.36863918148072
16,10,2.0,2,0,1.0,0,3,4.0,16,1133.0,1132000.0,43.66747935750579,-79.40418481547331
17,10,2.0,2,1,3.0,1,1,2.0,0,1156.0,1499000.0,43.67556406713593,-79.3958715539492
18,13,1.0,1,1,0.0,1,3,6.0,4,284.0,394000.0,43.64003169504455,-79.38850037323355
19,10,1.0,1,1,0.0,0,1,16.0,14,591.0,544000.0,43.65477959286089,-79.39384776313454
20,10,3.0,3,0,1.0,1,0,5.0,5,477.0,688000.0,43.6566233037412,-79.42206224702754
21,11,1.0,1,0,1.0,0,3,24.0,6,444.0,583000.0,43.66944239478581,-79.37302246074034
22,11,1.0,1,0,1.0,0,0,6.0,16,818.0,618000.0,43.656430472335856,-79.3614755102645
23,13,1.0,1,1,0.0,1,1,2.0,13,291.0,447000.0,43.63787336330299,-79.42318860146155
24,10,1.0,1,0,1.0,0,2,5.0,7,821.0,962000.0,43.677867350874486,-79.38042925505518
25,10,1.0,1,1,0.0,0,0,27.0,10,511.0,583000.0,43.658014588772566,-79.40884291248227
26,13,1.0,1,0,0.0,0,1,0.0,2,341.0,480000.0,43.64858319233683,-79.35821841977804
27,13,2.0,2,0,1.0,1,3,5.0,9,615.0,929000.0,43.63712324210069,-79.39586212415982
28,13,1.0,3,0,0.0,1,2,11.0,11,433.0,535000.0,43.643433868162674,-79.38511118341799
29,11,2.0,1,0,2.0,0,3,10.0,0,1101.0,1514000.0,43.66898662492308,-79.36992489744038
30,13,1.0,1,1,1.0,1,1,13.968562420855944,1,505.0,660000.0,43.64797126927217,-79.42188992099923
31,10,1.0,1,1,1.0,1,3,28.0,15,551.0,584000.0,43.691252039269386,-79.38356074578479
32,10,1.0,1,1,0.0,1,1,33.0,4,402.0,515000.0,43.658391783860885,-79.41298298667198
33,13,1.0,1,0,1.0,1,1,1.0,9,753.3882405910815,421000.0,43.64695008014707,-79.35810506709902
34,11,3.0,2,0,2.0,0,3,30.0,1,937.0,1288000.0,43.670752989108706,-79.3695234168154
35,13,2.0,2,1,2.0,0,1,3.0,5,811.0,1063000.0,43.6386905061052,-79.40292852867819
36,10,1.0,1,0,0.0,1,1,2.0,13,391.0,608000.0,43.67260820394731,-79.3964567179495
37,10,2.0,2,0,2.0,1,0,13.0,14,748.0,955000.0,43.67038725693614,-79.41675121939844
38,13,2.0,2,1,1.0,0,0,6.0,1,597.0,668000.0,43.64235415289229,-79.39064251149064
39,10,3.0,3,0,1.0,0,0,45.0,12,864.0,1062000.0,43.68510818722781,-79.36352422764439
40,11,1.0,1,0,1.0,0,0,26.0,12,462.0,732000.0,43.66940298365705,-79.36458858263411
41,11,2.0,2,1,1.0,0,2,5.0,9,484.0,740000.0,43.650848467277946,-79.35949469940189
42,11,3.0,2,0,4.0,1,0,43.0,7,2324.0,2091000.0,43.656330604,-79.37049594275031
43,10,1.0,1,0,1.0,1,3,10.0,4,425.0,744000.0,43.66704293452999,-79.39023614082762
44,13,2.0,2,0,0.0,1,1,17.0,2,363.0,474000.0,43.6409791040876,-79.39103784280555
45,13,0.0,1,0,0.0,1,2,26.0,5,435.0,491000.0,43.63335213033687,-79.40538161130118
47,10,1.0,1,0,1.0,0,1,6.0,4,462.0,643000.0,43.66491143054659,-79.42342978529648
48,10,2.0,2,0,1.0,1,0,5.0,0,643.0,797000.0,43.67506532134303,-79.38359438675909
49,10,1.0,1,0,1.0,0,3,5.0,12,480.0,706000.0,43.66977787380511,-79.41909721734585
50,13,1.0,1,0,0.0,1,1,15.0,7,514.0,677000.0,43.62791634368859,-79.42217395109768
51,10,1.0,1,0,0.0,1,3,8.0,34,322.0,433000.0,43.677618233339224,-79.37808845380833
52,10,3.0,3,0,3.0,0,3,1.0,4,1376.0,1594000.0,43.68197315281072,-79.38338747626753
53,10,1.0,1,0,1.0,1,0,0.0,14,711.0,954000.0,43.65123667382479,-79.41229867796919
54,13,1.0,1,1,0.0,1,1,29.0,10,590.0,621000.0,43.64341935897714,-79.37353850127008
55,11,1.0,1,1,1.0,0,0,1.0,12,600.0,506000.0,43.67102477562876,-79.37884185554077
56,13,1.0,1,1,1.0,1,2,5.0,1,513.0,659000.0,43.63068175184152,-79.42506854587812
57,10,1.0,1,1,0.0,1,0,19.0,4,424.0,579000.0,43.674908170165445,-79.40011674304948
58,10,1.0,1,1,0.0,1,2,27.0,66,596.0,593000.0,43.66677528463544,-79.41090874291397
59,13,2.0,2,0,2.0,0,3,4.0,7,1328.0,2104000.0,43.645487322033425,-79.38877218563383
60,13,1.0,1,1,0.0,1,1,16.0,16,498.0,417000.0,43.64347583419956,-79.39152697764838
61,10,1.0,1,1,1.0,1,0,35.0,50,580.0,606000.0,43.68630830823633,-79.36546014961567
62,13,1.0,1,0,0.0,0,0,5.0,4,479.0,423000.0,43.63915834275468,-79.40902855204247
63,10,1.0,1,1,1.0,0,1,20.0,7,592.0,717000.0,43.672265753345535,-79.39255352976954
64,10,2.0,2,0,7.0,0,0,7.0,6,2399.0,3233000.0,43.65855805222266,-79.4099473508933
65,10,1.0,1,0,1.0,1,0,5.0,1,463.0,476000.0,43.6603771976342,-79.42268654902624
66,10,2.0,1,1,1.0,0,1,34.0,1,980.0,822000.0,43.68851321717712,-79.37340043467746
67,10,1.0,1,1,0.0,0,0,21.0,5,442.0,634000.0,43.660928055298875,-79.42212001459329
68,10,1.0,1,0,1.0,1,1,1.0,12,646.0,657000.0,43.68748498149737,-79.38652052757627
69,10,1.0,1,1,1.0,0,1,26.0,1,951.0,824000.0,43.67141654088601,-79.38202049951113
70,10,2.0,1,0,1.0,1,1,3.0,5,899.0,1170000.0,43.65814235326624,-79.41778346105235
71,11,2.0,2,1,4.0,0,2,19.0,26,1440.0,1593000.0,43.67035203083382,-79.37700259986664
72,10,2.0,2,1,1.0,1,0,6.0,4,875.0,1151000.0,43.691370727488135,-79.38520084850015
73,11,2.0,3,1,2.0,1,0,5.0,7,1530.0,1631000.0,43.65609579363458,-79.37316590622777
74,11,0.0,1,0,1.0,1,0,1.0,6,672.0,651000.0,43.64735741454651,-79.37624496123253
76,13,1.0,1,0,1.0,0,1,12.0,11,515.0,790000.0,43.64773136448078,-79.3865173628873
77,10,1.0,1,1,0.0,0,0,16.0,23,784.0,609000.0,43.6735033312105,-79.41613684542105
78,11,1.0,2,0,1.0,1,0,7.0,16,431.0,643000.0,43.658410829236985,-79.35670884681171
79,13,1.0,1,0,0.0,1,3,14.0,56,460.0,521000.0,43.64090759004112,-79.38973963094027
80,11,2.0,2,0,4.0,1,1,15.0,20,1587.0,2345000.0,43.65160936718761,-79.35815829597233
81,10,3.0,3,0,1.0,1,2,1.0,2,607.0,760000.0,43.657953162367285,-79.38541727739832
82,10,1.0,1,0,1.0,1,1,11.0,4,482.0,668000.0,43.67133007341938,-79.36099903480113
83,11,3.0,2,0,2.0,1,2,33.0,1,1053.0,1744000.0,43.65915459739329,-79.35494013103141
84,13,2.0,2,1,1.0,1,0,13.99862867081018,1,690.0,732000.0,43.62979004932593,-79.42607476280322
85,10,1.0,1,1,1.0,1,0,6.0,6,559.0,645000.0,43.68156982028633,-79.38528883499055
